"Geno","TRS_kg_per_Mg","CYMg_per_ha","Population","Dia","Brix","Fiber","SW_kg","Sucrose..","Moisture","Pol..Reading","Purity"
"HO05-961",116.937342175758,57.1820320061352,73111.4894766249,20.9834160916791,19.4449004009339,12.2058363684618,0.792855315513451,16.4280198451333,70.7235625327536,70.7732197794927,83.483030040741
"HO06-523",128.240160940344,73.9503121736496,84754.4120427404,21.1348358637405,20.2124012800291,13.842735797727,0.889979462377142,17.7059337291405,68.5664571650158,76.5315716709739,86.5097204951163
"HO06-530",108.947230985027,61.3106635459694,79544.9368314962,22.3014310255648,19.0402229884895,12.4653245196883,0.781474762673062,15.5712199721702,70.8943182639725,66.9224525158935,80.7374648566621
"HO06-563",126.339519820812,84.4739745397323,90001.7684846758,22.784198067113,20.2223115262723,14.0654799973259,0.92690242839798,17.5302966019013,68.4817173377545,75.7862568317588,85.6021008060246
"HO07-3045-11",79.37060271165,34.6404048532329,106566.432793609,13.9694026873598,15.439967398651,21.2502495526974,0.32537057018388,11.7705507174155,67.1494483274653,49.7740683337339,74.9194985028503
"HO07-613",123.755875819858,69.0297703462371,81256.5920009255,23.0712226933026,19.7586410184336,12.237039335932,0.858850637484295,17.1547568523689,70.1388516414056,74.0048186252,85.7070306816387
"HO07-617",123.187795591615,65.4690898786328,90644.9082661828,21.2690923780517,20.1378475454743,12.2177310692897,0.726002931035832,17.2136471919649,69.9803169690373,74.377251269884,84.4545415033147
"HO07-9017",70.3250298125354,73.753589324556,185916.407686101,17.2547035985391,15.3747600385959,23.9574758060335,0.404908548587921,10.9170363466843,65.5023677342515,46.1738523209617,69.4836823492175
"HO07-9027",78.6718491853878,67.4912413806332,142292.598375181,16.1858912897856,16.4304264860856,24.42264998396,0.489754412268302,11.998758214664,64.1552598243158,51.0031969322302,71.8285336480529
"HO08-709",119.667601847567,59.5082763195924,83851.1607868546,20.2840329367467,19.7616615938415,13.6796685556749,0.730082386649988,16.7801639534043,69.3808417612031,72.3614224555221,83.8189566999694
"HO08-711",113.189692223703,43.9349456768927,69361.4339227963,22.1667727854298,18.8480202488225,10.9831325037902,0.642520362665066,15.9096435873171,72.1632165945648,68.3403037371402,83.1806228839727
"HO08-717",119.606778682419,52.486506394604,80009.5706660388,19.8078549257784,19.0250584251563,12.551430841909,0.641001447612282,16.5553800527383,70.8550175452767,71.1496739060771,85.8859600496366
"HO08-9003",90.0549997190374,86.4707995977358,183981.405904598,15.5098385099045,16.3695782784261,19.4252403173917,0.498165453606766,13.0398918793762,67.7494647310883,55.3538667708928,78.4636539474122
"HO09-822",119.791824515697,72.5476449145059,83395.0597905482,21.4592002719454,19.3039915702851,14.0900394523053,0.781741959909427,16.6545328277731,69.5470718340955,71.713925654357,84.8916694901479
"HO09-824",131.87817714478,72.8737118253806,97490.9261799023,20.331261933462,20.1406503509973,14.6577488296432,0.719196699848077,18.023475598426,68.0364878273573,77.8762046562389,88.3127157970637
"HO09-825",126.126013637323,69.7673271467953,114488.016577832,20.4427803594077,19.9834868622598,12.3787656391479,0.671119243229996,17.4442331842199,69.9022950075057,75.3105426706738,86.20262494788
"HO09-827",116.274699234232,57.9910923258108,107677.436970541,20.1431570122079,19.0254691239121,11.7585375302568,0.586431778509833,16.2480877678299,71.5418929387556,69.8359564424809,84.3576861871526
"HO09-831",125.583893315364,56.7779254201645,61836.4332740498,23.5711367181676,20.2822724064065,12.7042055443233,0.920643021361023,17.4792008337669,69.6979881392361,75.5798534201943,85.0908648683712
"HO09-840",114.381431378229,60.6282430415794,116677.619838449,18.5593761125352,19.0477255970871,14.6246204233147,0.550385171860263,16.0816878748136,69.0850121576543,69.1137812771668,83.367118106527
"HO09-841",121.46435420259,59.3733638058721,85940.1876064274,21.6298080886646,19.8779839413869,12.8898562113736,0.668389150386578,16.9762148515639,69.7843714487654,73.2578612295642,84.3465544538529
"HO09-9151",96.5078476661381,29.3039089805677,125986.254312295,12.3699013245624,17.0671619425642,16.696200652872,0.230875373754489,13.8439761947804,69.1894762271191,58.9737925124949,79.9065628404915
"HO10-199",121.491064732924,81.6408626539829,95055.662283949,21.8852788217999,19.7787954933684,13.5464155864619,0.870028232745448,16.9513634941112,69.3432739227789,73.1105986878499,84.6501931241831
"HO10-919",123.482849327044,56.7316455064959,68444.1827936087,23.4194026873599,20.1082557481885,13.5516418948551,0.919655323559228,17.2385874182759,69.0160190680239,74.4400541108906,84.817616744335
"HO10-9235",103.534929563814,66.0989306923335,184613.447228407,15.3281537983118,18.1235933610937,20.4814071158803,0.377812268507025,14.8020653072625,65.6967152538693,63.3425345022114,80.5645233917424
"HO10-9246",94.5053555072627,108.300221860342,157741.054456307,18.311673614623,16.430993687654,18.3124708920935,0.734066051557653,13.4713278187514,68.4690188267055,57.17845057791,80.9112538072425
"HO10-9406",95.9343201424216,126.986355488008,151415.932793609,19.2944026873598,16.3420561821404,18.794806929531,0.883982173626936,13.5770554875049,68.1606934401756,57.6383615714893,81.7780736891405
"HO11-515",132.204631745886,69.7214570129008,86854.8427989247,21.6270228276324,20.7872214034537,13.1829682260095,0.813390556243885,18.241927916516,68.6469510230172,79.0706585276167,86.6416318652788
"HO11-519",125.153161218777,85.7559592975052,105873.635084103,20.7142975436441,20.1731296102653,12.8029660230512,0.840766670368523,17.4068625989738,69.5540703404097,75.221116389722,85.2111800556883
"HO11-528",120.945549410706,41.4101182077904,53827.591641203,23.6845500787984,19.8662512516955,12.6323099372544,0.750450178409148,16.9273426016894,69.9684864403397,73.0404191076344,84.1122326627629
"HO11-532",128.542832675771,68.0637788579905,88700.4678117952,20.9293212793169,20.5149288178563,13.6860363733807,0.785014879859196,17.8218219231534,68.4636153213878,77.1502174590773,85.7916011272325
"HO11-573",137.403432275969,59.638581494589,79148.0467820874,21.7808796937758,21.8102965064534,13.0150575001661,0.750475390103389,19.0230345657289,68.0690376051999,82.8776626928744,86.1732323966359
"HO12-615",128.727126579613,74.1045144102238,122087.072193961,19.6423470557472,20.271036707169,13.5705673257905,0.618897690524345,17.7676597429284,68.6607272661358,76.8254749554477,86.6219026715754
"HO12-629",120.031828746206,66.339280377111,89006.7191956478,23.342797532647,19.7073230177901,12.9065780717072,0.792656266343539,16.7949014835588,69.8338013996092,72.4417260334876,84.0748159597063
"HO12-630",120.149556668744,68.7534528288742,72147.6156128519,22.8367901048718,19.8546866987785,13.3841706424746,0.935421823116895,16.8458955598445,69.3385323756114,72.8030958214806,83.3348616213833
"HO14-9273",117.099738931658,97.5429036054195,109716.709255487,21.1516310262075,19.3728830318046,16.8402493285599,0.919648415803713,16.4252800372688,67.1171642925024,70.7193250727038,83.6798789902666
"HO15-9360",122.762594893114,58.4905082172194,101757.935762442,17.5070155424683,19.4905551289118,14.9129381428793,0.579674361135508,16.9863679753123,68.292049720082,73.1695874362737,86.0535936659388
"HO16-9003",103.000183248964,69.2643217664026,171796.284816794,16.2504142619562,17.8615544431509,20.1342713317459,0.428005712369652,14.6767170339538,66.0114694826087,62.7170110863836,81.1332189132403
"Ho89-889",136.669776865709,54.7232008987773,72929.1827936088,22.6883218650138,21.7944855024761,13.5402378270344,0.801135726519362,18.9509125654291,67.6293781413525,82.5163041068647,86.0733229957166
"HO89-889",125.687927510622,67.5877348719637,88150.9702362246,20.9035441440796,20.5682283588629,13.3958896831528,0.821351025433206,17.5705728434463,68.8463162929452,76.0905502540951,84.3278421903799
"HO95-988",127.547561987169,74.6658458212871,88870.8477192565,24.2431956458756,20.2467672386604,12.1363186062956,0.892596259157099,17.6513974998133,69.7677189092493,76.3020919611629,86.1077663706778
"HOCP00-930",120.08471741054,59.851761359775,100380.676012666,21.1850317716889,19.698243176162,12.9901153056805,0.637678030444737,16.7981974151505,70.0129584549443,72.4152422919437,84.2369161664175
"HOCP00-950",132.144386777849,60.9115322355683,77140.6242512466,22.7218881821814,21.2887568767367,12.0723515296077,0.757372930652987,18.3832564030504,69.1396313495166,79.8679669826696,85.2802569530892
"HoCP01-517",132.340082515709,65.8108127910573,69341.6827936087,22.9549885325138,20.8765190424761,11.9533441770344,0.993912483769361,18.2815499104291,69.6242588213525,79.2299004493646,86.7000140132166
"HOCP01-517",128.660661973863,68.5358194692185,71734.6927712308,23.3440298818923,20.4465437343851,11.4704870219935,1.00529646326011,17.8136726593809,70.2829048691592,77.0803582001028,85.9761416665549
"HOCP01-523",125.76879197428,107.258827591407,128580.228201559,20.5814515095501,20.4030915368177,13.578923993683,0.867093996319098,17.5315720902318,68.8982853982058,75.8393156452142,84.8607245764808
"HOCP02-610",119.367045057644,93.3112252530356,106886.060686527,21.3670771910867,19.5375400160369,13.3302040883168,0.927473685542659,16.6842716881587,69.7420173169391,71.8718729112584,84.3686717268677
"HOCP02-618",124.314164596575,46.8251327138578,78042.7876640369,19.6185709926885,19.5330412307098,12.7359148101767,0.577922885195776,17.1445504329387,70.117447908142,73.847232393867,86.6919005059457
"HOCP02-623",129.327554331446,64.5094538760048,87846.1240635394,19.4279222071199,20.1231299012085,14.0876037901543,0.655059099137769,17.7817656120736,68.4927646213089,76.8008517793743,87.2374828302821
"HOCP04-838",130.164673857137,73.5953593886089,109627.365329203,20.6311423920145,20.8239280226107,13.6599050449868,0.692090229961867,18.0629168309935,68.2109363796639,78.3118824911926,85.6578404355884
"HOCP04-852",102.457226343363,60.0878133646518,56787.4246579458,25.103307476546,17.9901646492451,11.6737549476999,1.06265273980915,14.6633952754763,72.4846323539379,62.7045983697832,80.4351836277565
"HoCP05-918",129.696649840709,37.1837544495522,60371.4327936087,22.4133218650138,20.7034088449761,12.2881435595344,0.566779668686028,17.9854123929291,69.6736362613525,77.8850632618646,86.0115381757166
"HOCP05-918",127.167307899348,65.2305290196343,88042.5048652463,23.5204393562301,20.3071307689773,12.2254650501465,0.751728071711206,17.6340036162782,69.9319666638315,76.255094310517,85.7167367277757
"HOCP09-803",135.084914249695,41.7629331475392,76938.812920353,19.2700219707289,21.6156456416621,13.0877564210452,0.51480694362463,18.7497980966846,68.1392340679619,81.5979686450622,85.8155637640957
"HOCP09-810",121.784660199383,53.9966316185263,72008.2446274881,20.8640910836314,19.8039498656214,12.5926775584096,0.733459437233931,16.9886582660873,70.1049398092173,73.2639789711984,84.8326512821485
"HOCP09-814",127.636459578782,76.5291818181063,69587.0983515491,23.6293242504802,20.1206975523486,11.4643047942634,1.07840899704664,17.6234969765239,70.3608188146897,76.1277685160486,86.5166111993664
"HoCP10-917",141.452751165709,71.1807936361563,101184.182793609,21.4966551975138,21.5875000274761,12.0358732420344,0.714197188936029,19.3356045854292,68.8366260688525,84.0966072968646,88.6768119257166
"HOCP10-917",129.25436050552,93.5178286845201,116557.534157061,21.8805361638026,20.5975032202509,12.1581829684835,0.82876704067099,17.912779077636,69.5378341244245,77.5686151739586,85.8401594455622
"HOCP11-536",130.042893825414,54.3115388763638,91269.6497264475,20.035913302514,20.3822502343474,13.6025640229363,0.615134274329465,17.9244356247903,68.7524832195012,77.5359807830632,86.8356224111001
"HOCP12-640",124.67369497173,63.3970499791248,84238.7587625635,22.9047166388028,20.3559816759456,12.2867029480794,0.759180164717221,17.415305009589,69.6325804106441,75.3216766346166,84.5264251214944
"HOCP12-667",131.883473893886,61.1391360626002,76709.5528260782,22.7847699007514,20.6054248292382,13.1470970128211,0.825268077670389,18.1590347372523,68.7617969199807,78.633056590987,87.0458890469212
"HOCP13-723",131.830773520686,50.5808936014899,79089.2528085842,24.1006733459957,20.6168938686596,11.1187953472074,0.66514415157838,18.1567396558981,70.301579590156,78.6353170554241,87.0115894382417
"HOCP13-755",131.474980543357,52.1061545010033,91990.2201539658,21.4899335886902,20.4861635800149,11.7206836588728,0.588866957854748,18.0858898324763,70.0699679750511,78.2742926013586,87.1839892909105
"HOCP82-089",129.121749517422,61.7119352241949,89523.4327936087,20.6360693548599,20.7278327046404,12.645176957031,0.736092161324852,17.9377322875049,69.0580918176756,77.6979585889893,85.6270452941406
"HOCP85-845",116.701255087597,67.8526530979318,72797.4060138542,23.2337269603252,19.5939482853999,13.8491988507064,0.919015280658274,16.4506783133554,69.4018551451816,70.9024211401075,82.9676339809102
"HOCP89-846",118.522781173578,36.9087572763668,47185.8015488625,22.3233076090469,19.408498424771,12.404686617169,0.844195205782592,16.5686667437298,70.3660059547624,71.3279207481123,84.2149707638037
"HOCP91-552",120.713172655042,77.0363681131476,109407.472814107,21.064299445811,19.9317538954244,14.141021403802,0.73391058176568,16.9246719613858,68.7994537827558,73.0538031617115,83.8284585863845
"HOCP92-618",131.62091063009,64.2016144078822,77889.1174703029,21.3126294735917,21.3493242921739,14.1686459063351,0.865137350749632,18.3495587219471,67.5383924739081,79.7667094016452,84.9115410949664
"HOCP92-624",119.724573751622,50.4391429413469,56367.4927065577,23.8478252814723,19.9423992427301,13.1510785462675,0.899636076771849,16.8378849859793,69.439838883037,72.6793877292181,83.2862276402405
"HOCP92-648",120.507498626426,70.7699793221431,82420.2330371706,24.7070863456655,19.9329352774,11.9926473502542,0.865738829311508,16.9071308034869,70.4154578475251,72.9724024767061,83.7639428157238
"HOCP95-951",126.016283294379,57.7712404556503,86158.1819121506,18.2277434588469,20.4627700504054,16.0530347044526,0.661780113180345,17.5730473743493,66.9162657606702,76.0439161222,84.8147504524773
"HOCP96-540",127.593367740536,77.2024408513745,87953.9100824921,22.4191815255443,20.1859459364257,12.4389163580909,0.888283034539805,17.6398898118411,69.7440509020811,76.2258450972742,86.2847875362357
"HOCP96-561",127.471189224034,67.6879384093787,90633.8479684104,22.1824193778428,20.0566889846722,12.1708776419488,0.787645931876066,17.5895212226339,70.0706515762669,75.9692265085788,86.5868070290997
"HOCP97-609",128.541483857814,66.540799445428,77749.3046347156,22.1999187970616,20.5739555506037,12.7602249541697,0.843785959926118,17.8370726818809,69.1012420340261,77.2400673738889,85.603693543988
"HOL08-723",117.272587048611,58.0656522257301,82473.8850962792,20.2966155603474,19.348355997844,12.2990231480833,0.744594300215027,16.4341441955949,70.5862252100916,70.7563310723128,83.7077087647263
"IN8468",113.855293005472,84.5737366315818,110560.458721783,21.1966906008413,19.5026269053874,15.0109655193757,0.772840363451,16.1576307589887,68.5295645158416,69.6262983384864,81.8648248970199
"IS76184",68.2617907865365,46.5437477819389,113422.50297521,16.0813480670037,14.6794268359892,22.4908772329059,0.408992763820511,10.5181407645422,67.0349928799575,44.3024341249352,70.7080343775188
"K7-730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KALARI",72.1531264955585,55.0907738217066,141894.331382923,15.5224943716645,15.5806049904995,24.8101147506107,0.377335422364046,11.1421093933973,64.7677288503118,47.1241728450056,70.4467800662006
"KALIMPONG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KERAH 73",71.9547843020796,42.5498304556406,175898.512133846,14.0632097402918,15.4713935738991,18.5717400058062,0.284483476586745,11.0943589654521,69.6931846444963,47.3007295265326,66.5197269398602
"KETARI",77.0698857305474,34.1681210086238,64054.4649031136,18.7886071235854,15.8434912879585,12.6795166281735,0.464990989813711,11.6753096243985,73.6392615363158,49.4405157768531,72.6205028337628
"KHAQZI",73.141827626255,21.1796407124846,56335.0577936087,15.9246956086868,15.0999064895797,15.7882821266695,0.349733990015162,11.0900897118656,71.7643985741916,46.8169797166077,72.2385391620528
"KT 730",94.7726202440173,25.3720263613644,36858.4565282767,20.1472045714405,17.1258045620434,14.3157695927649,0.59055293039126,13.7049666810204,71.3864814588034,58.5371208653467,78.5550644432831
"L01-283",126.948220401993,92.4484666292061,124287.901318485,21.1803826740578,20.5129650753888,12.8932048325045,0.774314457373794,17.6731317082735,69.1625809805768,76.5118026543325,85.0786172449448
"L01-299",125.350561357735,65.9892488331869,93931.8825870193,20.1389440019402,20.0505673627705,13.2068405676072,0.728249838580119,17.3950019228318,69.3322208906275,75.1213734442798,85.5591391126223
"L01-315",120.431969921046,40.094633627053,82285.5030528703,18.4589289306843,19.3424856288117,13.6256241416998,0.508552203044446,16.7269728583086,69.8138029201228,71.9985103799587,85.3076720615138
"L05-448",123.51073377972,73.8999785379872,101946.440403463,22.0044435715026,20.002334302803,12.9068673396492,0.791942938546504,17.2064150672022,69.6493200462536,74.2850246768272,84.8708725919617
"L05-457",130.897365183005,63.4697123874605,95825.1483050705,19.3407926533461,20.5106950468645,13.6332540009413,0.697514186242301,18.0373810060862,68.5631926287847,78.082683766619,86.929009525254
"L05-466",124.174034645147,56.1495544578231,85484.8085100032,20.2249717909974,19.8207633290644,15.637982939502,0.657153491242547,17.2146694037387,67.9489232012518,74.2568997589999,85.8349239552313
"L06-001",133.938784746318,68.6839146493295,81239.5195428336,23.2182395450806,21.147788581055,11.6612159235268,0.902682468370124,18.5078633565317,69.3488440325611,80.3607453657397,86.4469852139513
"L06-038",121.815363971982,62.5592453854149,69924.3425396256,21.3309766542034,19.8683260067663,12.2715621200966,0.876205485513422,17.0061156015419,70.1572851233685,73.3938216154019,84.4947786076048
"L06-040",124.250714502049,84.097248136715,102271.604894451,23.8200387576212,20.1289635286148,14.4266666463488,0.83252961344331,17.3085366760654,68.4338177252326,74.7838912603763,84.9772665686302
"L07-057",123.529583544229,46.0413784227644,62468.6155882663,19.8944167147703,19.712191687231,12.9578257207183,0.714495260258141,17.1208962164498,69.9066024794058,73.8209596171453,85.7882331704574
"L08-088",119.873228405289,52.7773721805416,72106.5067031008,20.8145993300082,19.7589060203435,12.8845739651423,0.752921198513031,16.796221098575,69.8667376341655,72.4245523541809,83.9573735817945
"L08-090",131.099489538707,68.9242415718522,96263.0122812881,21.0710787980157,20.5277501850994,13.8784876413472,0.745630656528405,18.062927862826,68.4497549872642,78.1880202186594,86.9366629341248
"L08-092",127.551234361011,85.0088684507375,106422.234135897,21.345377468087,20.4110265819005,12.9386164582963,0.795333200844366,17.7019451446264,69.2488074754916,76.5769015260612,85.5621817065635
"L08-726",132.672979014411,59.2694731511832,70878.9538130295,22.6230825508598,20.6818155775744,11.8013718482901,0.796434156918516,18.2560308314242,69.8783841206923,79.0867765503553,87.1537271468832
"L09-099",115.258383433382,69.8783263780016,85731.2848174322,21.456881795031,19.0361000471426,13.1805398735591,0.783716074291052,16.155503325762,70.3640373619132,69.4276520993694,83.855672020793
"L09-105",114.858162505832,73.7577372482509,102303.927160221,20.4459963126117,19.2167407797347,13.605708799073,0.728387846998492,16.1707540191666,69.7618414797525,69.5713482053527,83.0707908975629
"L09-107",115.123243477385,53.0812960406772,66622.5467830489,21.6190390815546,19.1474561302534,13.3299922864654,0.761687769430752,16.1768754767296,70.0333844374789,69.5642088991603,83.3805936882584
"L09-108",123.030009772406,53.8490222607175,85107.1101180583,18.9420375792903,20.0368668000081,13.3075284683127,0.553176381356363,17.1705120662858,69.3607340837527,74.1578612829942,84.5975125076942
"L09-112",125.43627633266,87.0693706753779,87064.8106592811,23.6987327512137,20.2527235761602,13.9609626752438,1.03136671287102,17.4565461385682,68.5683733094003,75.4664053320929,85.1398663712791
"L09-114",121.960323176616,40.5667866944546,69499.481348149,18.5266698655066,20.0281173465158,13.212047562758,0.621216131549779,17.0703466379939,69.2948903317774,73.7039875421994,84.1206247618029
"L09-117",136.457117270025,46.980612229928,74725.8269737181,20.1599514253537,20.7754317461893,11.2825374553894,0.623252373199545,18.6302279321508,69.9523142322677,80.7332144483795,88.6733129996841
"L09-118",112.631125455242,28.795501270325,41429.2061093523,21.9463854235529,19.1978443581629,12.5526145652444,0.724119580472246,15.960500513442,70.8648889063319,68.6533666344723,82.0458040373909
"L09-121",108.618430696272,76.3683328225223,127933.774719534,17.4532165390103,19.0267704189219,15.0740605793163,0.593841034707369,15.5351525190657,69.1123406944204,66.7630919986333,80.6776882164972
"L09-123",122.242944903137,67.0786995746047,82467.1423067514,21.7385981790747,20.0150819457786,13.582032688556,0.801083289027101,17.0915228599752,69.1558056443085,73.799864759004,84.3014205470521
"L09-129",118.39220780471,55.591157229169,107450.994110108,18.2962774665264,19.6579763365366,15.8059246995123,0.534881640198796,16.6302896557971,67.7561804774676,71.6786195341562,83.583964590984
"L10-147",121.69287775446,85.1828886210264,97647.2781096784,22.8622898387247,19.7158349363794,12.0391282355902,0.876414276954326,16.953276335646,70.4791658846686,73.0858904600784,84.8795978926755
"L11-168",128.086428700016,61.0908608029646,86690.019948248,20.594342673773,20.4315501241651,13.4270453062723,0.7159318156212,17.7544751599174,68.7755669262531,76.82346992082,85.8381600666141
"L11-172",123.82940864899,68.251164648948,74925.5054616422,22.1050165349146,19.8369335497236,12.8331226263886,0.799452402522484,17.1902270196497,69.8605314662582,74.1782420579544,85.3301286727462
"L11-183",128.739426163814,87.8668082971002,98014.6751679251,22.6213800795461,20.4844456510667,12.396392815148,0.868439298592253,17.8305154879671,69.620587190169,77.1674036306901,86.0037250608321
"L11-187",128.003979657543,51.9641311923838,77358.4528473612,21.435863629491,20.6240419226074,13.5422329600914,0.712630645986923,17.8046125237386,68.5867688119284,77.1234088130943,85.2239177053189
"L12-201",131.744910514408,66.6301989899885,70960.6712794531,24.1545856745154,20.414630722448,11.540655684365,0.925105978031461,18.089890806216,70.1712538858125,78.2607829957338,87.5263525929365
"L12-202",128.971332641893,78.4149036877556,83568.181241758,23.9238590563562,20.8430212473091,13.1238766657518,0.976678653795932,17.9560024953822,68.572982284803,77.8577854923958,85.0666376205606
"L12-218",110.815019532722,93.7032741874168,97597.0442811629,20.0843212166906,19.1152094837882,14.1607978262428,0.981356759443966,15.7677985018845,69.792741053421,67.7888468325234,81.4421073793005
"L12-227",122.276440591169,89.8665085939746,90556.883147818,22.7688479690018,20.4618575687435,14.2410375725534,1.05273392106965,17.2244150032148,68.4983304088232,74.5433764859684,83.1428754924042
"L79-1002",77.17031610612,60.6865068556246,206729.714900105,12.0896077225535,15.3569933249207,23.8809777559222,0.304611476068028,11.5479131326115,65.2976764936789,48.7916430825641,74.3156132544152
"L94-426",127.462242779459,56.6651869067975,77174.2852798539,23.0037931799388,20.0576774473216,13.9832361144273,0.77671007541608,17.5875985116404,68.7422682915654,75.9756224964289,86.5342245103988
"L94-428",126.911884632829,63.5187927665156,76002.8724034072,22.4708213947989,20.0418704303168,12.3350464867173,0.804461716881162,17.5351361151549,69.7101767382994,75.7579401593662,86.2189105137133
"L94-432",130.989662637423,74.7216364318232,100374.524234966,20.6855922879368,20.879561961341,13.2784134771381,0.748335640108021,18.156097163987,68.5608221377566,78.7410570017568,85.9037602898506
"L97-128",128.11481640478,96.5216345607566,100645.847924702,21.5519304146207,20.3368110745126,13.4393774185468,0.88303659590046,17.7293229185748,69.0090472608621,76.6938375300119,86.1262683894545
"L98-207",122.176415331799,54.7063902634911,87444.5481829851,19.3952002910033,19.8314647017591,13.7992903625629,0.629964728890682,17.0282693577869,68.9828280896012,73.4587633638167,84.9085453450418
"L98-209",121.545786952036,70.8763757549436,94710.4910523805,21.8112620055627,19.9179885181931,12.6623639418189,0.793881570759413,16.995494123203,69.8810297284456,73.3852581970455,84.298678946648
"L99-226",128.247035884982,90.6200072269762,77395.923433402,23.584180108374,20.573037668328,12.9675348896718,1.1695248226931,17.8113545170019,69.0015922297422,77.1205111645864,85.5127155420184
"L99-233",127.568241302796,77.7690314249087,112325.114702008,20.1189144159694,20.2234445120219,14.328866115659,0.740712968202471,17.6481966098167,68.2778278178659,76.2786510005876,86.1586912570076
"LA PURPLE",115.00400316903,35.918721500731,55431.6478776932,22.4876897031696,19.5789918958787,13.631978932343,0.6669389948354,16.2889912873094,69.5376617571584,70.2250016430845,82.0586034390045
"LAFITTE 1",86.3062808020636,35.2401006499425,53785.8257055853,21.4864325457078,16.9031749401915,16.2372032288934,0.522351725340565,12.8491440368593,70.2172229632668,55.0863363983184,71.3142201935219
