"Geno","Location","TRS_kg_per_Mg","CYMg_per_ha","Population","Dia","Brix","Fiber","SW_kg","Sucrose..","Moisture","Pol..Reading","Purity"
"CP72-370","Heavy",117.710564413605,57.2639000875927,74671.5907241748,23.261155180286,19.8370638424622,12.5559852317187,0.821960719686386,16.888235571036,69.936509812087,72.3059404911372,82.9282961604156
"CP72-370","Light",128.948090740774,71.4426312933431,87431.405253136,23.7263008963811,20.7813624829826,12.6211810639159,0.829402953177865,17.9376482382933,69.1063425699529,77.717691354668,85.2447383598353
"CP74-383","Heavy",120.025597459706,81.4634251546401,90670.7401060637,23.0023410791736,19.4568463387369,10.8903255016267,0.868873473366396,17.0586229938275,71.5613710600554,71.801023682136,84.3594979380265
"CP74-383","Light",113.895356728202,56.4840240141035,63899.1088621128,23.2249330135136,19.045842339444,11.5693505699375,0.858856426157281,16.02715080649,71.4640933393246,68.8613659411362,83.1383291285442
"CP77-407","Heavy",123.205660994031,24.3955649761629,34889.2532488931,21.2242062997316,20.1147807036357,11.8966481620255,0.570792694105029,17.5108182766294,70.0581992892108,74.7064585034463,84.3962856320908
"CP77-407","Light",120.581790659645,40.9002894403531,56041.7003732775,23.0556292383445,20.1127231736792,11.6343000904182,0.745656894803922,16.962471430524,70.4772827714287,73.2351083784164,83.3544107043944
"CP79-318","Heavy",121.811008944537,28.0345354099316,37560.7204062489,23.7257587756711,20.1623468953491,12.3166261205728,0.653552999386676,17.3747721233506,69.9635878109902,74.4664333630989,83.8283690562959
"CP79-318","Light",114.70189984326,46.4112519668942,59251.8180054368,22.2311036241863,19.4134795625904,12.6584813499673,0.819759928596932,16.2129880230125,70.5697220158557,69.7846745551878,82.4635250979601
"CP79-348","Heavy",121.945105620943,57.4925537086689,57536.4454336636,25.3205952303199,19.7319223148433,12.1714096708631,1.04191455999893,17.2794178739728,70.3545444922645,73.5168439113532,84.8570582778779
"CP79-348","Light",119.460922806085,59.9698263548237,71146.9936670371,23.8209209810899,19.5593248856629,12.6164321504226,0.903245022393771,16.6965236514861,70.3240477018808,71.8938848830911,84.3617084299016
"CP83-644","Heavy",123.248725367328,93.1752247686217,71390.1280766813,26.0795480250873,19.9655756318892,10.428285368693,1.27218070586512,17.4778243338175,71.3325916380982,74.1778688736746,84.6722259398368
"CP83-644","Light",124.234654008229,53.7775845697127,60799.4372384616,25.3126345692423,20.0269363151623,10.5355941833754,0.893261525594669,17.2768917120679,71.3672671575936,74.5783505920936,85.1700407990725
"CP85-830","Heavy",100.252313962578,54.0723495339056,67078.6087840527,23.0478142538976,18.1704632512035,13.9034383088191,0.818327663542399,14.7842983391156,70.4361857569969,62.8007401194175,79.1951799421248
