"Genotype","TRS_kg_per_Mg_BLUP","CYMg_per_ha_BLUP","Population_BLUP","Dia_BLUP","Brix_BLUP","Fiber_BLUP","SW_kg_BLUP","Sucrose.._BLUP","Moisture_BLUP","Pol..Reading_BLUP","Purity_BLUP"
"NCO310",110.512233336999,40.5503331097473,54915.6529134432,22.6622401574129,19.0116155617988,12.7776075428774,0.747953976696989,15.7018457572508,70.7793976194214,67.4847390249098,81.4997422244644
"US07-9026",60.5602956448585,51.5131624343381,127669.268297483,14.209493058602,14.375934642252,27.0523031972026,0.370655001283686,9.70037512358462,64.2453842015069,40.8251778535516,66.4117634748893
"PAUNRA",90.8481362648584,28.2397148694174,63158.9430096254,13.9061988997778,17.4619189684211,14.7199677820733,0.332934861944777,13.4255571006671,70.6939747829633,57.2828299246418,76.008302460051
"NGT1159",78.8366818667406,31.2758833492892,74152.5542746669,10.4453573462182,15.7967497172993,20.4046129133231,0.152331561945428,11.8112483007679,67.9403459917719,49.9914091564547,74.1399101014452
"MARTH1",77.852315347744,45.6741418599168,78338.4410602104,19.415436229049,15.9999254869599,13.3017164678388,0.514355353763557,11.7905062209488,72.9436367746727,49.9738762361029,72.5806813257842
"TEKCHA",77.5161446882498,48.5983968453977,87120.501396024,19.0420136917464,15.2541228868402,13.2988236780798,0.549915752536622,11.5462232890965,73.4885786690908,48.7777626684785,74.2992361299482
"RENASPORT",88.2824936354529,47.477951660687,133911.979746656,13.3642403729982,16.7009375796304,16.4777591621675,0.342012279708721,12.9598665810472,69.8211025618586,55.0972800974332,76.5735379895111
"HO09-9151",96.7813183734392,38.5743119750857,124283.018563597,12.5789593161939,17.1038756725188,16.6696763922515,0.262911368944475,13.8782576376423,69.2044485899046,59.1385574699856,79.880426706372
"TUKUYUDISTNO1",92.1680954644275,44.7322382866176,85797.7614784782,16.9934411567516,17.1485858886607,13.5095003247285,0.443847686085929,13.4551937312687,71.5872279098157,57.3166860044881,77.4938640305589
"HB07-3261-8",62.7690066775116,40.6793497876363,111540.64814649,10.3418767732756,13.5119894798598,20.9328307956349,0.206774901230083,9.65041336410596,69.1485810223355,40.4901913642908,69.9739266368463
"FIJI1",110.585904536976,56.6854492054587,62820.2469716429,24.9900656386709,18.8414958799427,14.1996568145379,0.95159624957349,15.6629962118129,69.8294090440043,67.2608916609888,81.9841816466332
"HOL08-723",116.784153009281,58.3141232914033,86133.6309038712,20.2604644035883,19.3163641943038,12.3669786619136,0.735344699598323,16.3782894578842,70.5199806069907,70.5165225670512,83.4644055524242
